ua_GEOID,ua_name,msa_GEOID,msa_name
00766,"Akron, OH Urbanized Area (2010)",10420,"Akron, OH Metro Area"
00970,"Albany--Schenectady, NY Urbanized Area (2010)",10580,"Albany-Schenectady-Troy, NY Metro Area"
01495,"Allentown, PA--NJ Urbanized Area (2010)",10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"
01792,"Altoona, PA Urbanized Area (2010)",11020,"Altoona, PA Metro Area"
01927,"Amarillo, TX Urbanized Area (2010)",11100,"Amarillo, TX Metro Area"
03358,"Asheville, NC Urbanized Area (2010)",11700,"Asheville, NC Metro Area"
03817,"Atlanta, GA Urbanized Area (2010)",12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area"
03898,"Atlantic City, NJ Urbanized Area (2010)",12100,"Atlantic City-Hammonton, NJ Metro Area"
04222,"Augusta-Richmond County, GA--SC Urbanized Area (2010)",12260,"Augusta-Richmond County, GA-SC Metro Area"
04384,"Austin, TX Urbanized Area (2010)",12420,"Austin-Round Rock-Georgetown, TX Metro Area"
04843,"Baltimore, MD Urbanized Area (2010)",12580,"Baltimore-Columbia-Towson, MD Metro Area"
05707,"Battle Creek, MI Urbanized Area (2010)",12980,"Battle Creek, MI Metro Area"
05869,"Bay City, MI Urbanized Area (2010)",13020,"Bay City, MI Metro Area"
06058,"Beaumont, TX Urbanized Area (2010)",13140,"Beaumont-Port Arthur, TX Metro Area"
07732,"Binghamton, NY--PA Urbanized Area (2010)",13780,"Binghamton, NY Metro Area"
07786,"Birmingham, AL Urbanized Area (2010)",13820,"Birmingham-Hoover, AL Metro Area"
09271,"Boston, MA--NH--RI Urbanized Area (2010)",14460,"Boston-Cambridge-Newton, MA-NH Metro Area"
10162,"Bridgeport--Stamford, CT--NY Urbanized Area (2010)",14860,"Bridgeport-Stamford-Norwalk, CT Metro Area"
11350,"Buffalo, NY Urbanized Area (2010)",15380,"Buffalo-Cheektowaga, NY Metro Area"
13375,"Canton, OH Urbanized Area (2010)",15940,"Canton-Massillon, OH Metro Area"
15481,"Charleston, WV Urbanized Area (2010)",16620,"Charleston, WV Metro Area"
15670,"Charlotte, NC--SC Urbanized Area (2010)",16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area"
15832,"Chattanooga, TN--GA Urbanized Area (2010)",16860,"Chattanooga, TN-GA Metro Area"
16264,"Chicago, IL--IN Urbanized Area (2010)",16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
16885,"Cincinnati, OH--KY--IN Urbanized Area (2010)",17140,"Cincinnati, OH-KY-IN Metro Area"
17668,"Cleveland, OH Urbanized Area (2010)",17460,"Cleveland-Elyria, OH Metro Area"
18964,"Columbia, SC Urbanized Area (2010)",17900,"Columbia, SC Metro Area"
19099,"Columbus, GA--AL Urbanized Area (2010)",17980,"Columbus, GA-AL Metro Area"
19234,"Columbus, OH Urbanized Area (2010)",18140,"Columbus, OH Metro Area"
22042,"Dallas--Fort Worth--Arlington, TX Urbanized Area (2010)",19100,"Dallas-Fort Worth-Arlington, TX Metro Area"
22366,"Davenport, IA--IL Urbanized Area (2010)",19340,"Davenport-Moline-Rock Island, IA-IL Metro Area"
22528,"Dayton, OH Urbanized Area (2010)",19430,"Dayton-Kettering, OH Metro Area"
22717,"Decatur, IL Urbanized Area (2010)",19500,"Decatur, IL Metro Area"
23527,"Denver--Aurora, CO Urbanized Area (2010)",19740,"Denver-Aurora-Lakewood, CO Metro Area"
23743,"Des Moines, IA Urbanized Area (2010)",19780,"Des Moines-West Des Moines, IA Metro Area"
23824,"Detroit, MI Urbanized Area (2010)",19820,"Detroit-Warren-Dearborn, MI Metro Area"
24823,"Dubuque, IA--IL Urbanized Area (2010)",20220,"Dubuque, IA Metro Area"
24850,"Duluth, MN--WI Urbanized Area (2010)",20260,"Duluth, MN-WI Metro Area"
25228,"Durham, NC Urbanized Area (2010)",20500,"Durham-Chapel Hill, NC Metro Area"
27253,"El Paso, TX--NM Urbanized Area (2010)",21340,"El Paso, TX Metro Area"
27118,"Elmira, NY Urbanized Area (2010)",21300,"Elmira, NY Metro Area"
27766,"Erie, PA Urbanized Area (2010)",21500,"Erie, PA Metro Area"
28333,"Evansville, IN--KY Urbanized Area (2010)",21780,"Evansville, IN-KY Metro Area"
29872,"Flint, MI Urbanized Area (2010)",22420,"Flint, MI Metro Area"
31087,"Fort Wayne, IN Urbanized Area (2010)",23060,"Fort Wayne, IN Metro Area"
31843,"Fresno, CA Urbanized Area (2010)",23420,"Fresno, CA Metro Area"
32491,"Galveston, TX Urban Cluster (2010)",26420,"Houston-The Woodlands-Sugar Land, TX Metro Area"
34300,"Grand Rapids, MI Urbanized Area (2010)",24340,"Grand Rapids-Kentwood, MI Metro Area"
35164,"Greensboro, NC Urbanized Area (2010)",24660,"Greensboro-High Point, NC Metro Area"
37081,"Harrisburg, PA Urbanized Area (2010)",25420,"Harrisburg-Carlisle, PA Metro Area"
37243,"Hartford, CT Urbanized Area (2010)",25540,"Hartford-East Hartford-Middletown, CT Metro Area"
40429,"Houston, TX Urbanized Area (2010)",26420,"Houston-The Woodlands-Sugar Land, TX Metro Area"
40753,"Huntington, WV--KY--OH Urbanized Area (2010)",26580,"Huntington-Ashland, WV-KY-OH Metro Area"
41212,"Indianapolis, IN Urbanized Area (2010)",26900,"Indianapolis-Carmel-Anderson, IN Metro Area"
42157,"Jackson, MI Urbanized Area (2010)",27100,"Jackson, MI Metro Area"
42211,"Jackson, MS Urbanized Area (2010)",27140,"Jackson, MS Metro Area"
42346,"Jacksonville, FL Urbanized Area (2010)",27260,"Jacksonville, FL Metro Area"
43291,"Johnstown, PA Urbanized Area (2010)",27780,"Johnstown, PA Metro Area"
43723,"Kalamazoo, MI Urbanized Area (2010)",28020,"Kalamazoo-Portage, MI Metro Area"
43912,"Kansas City, MO--KS Urbanized Area (2010)",28140,"Kansas City, MO-KS Metro Area"
44506,"Kenosha, WI--IL Urbanized Area (2010)",16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
45640,"Knoxville, TN Urbanized Area (2010)",28940,"Knoxville, TN Metro Area"
47530,"Lancaster, PA Urbanized Area (2010)",29540,"Lancaster, PA Metro Area"
47719,"Lansing, MI Urbanized Area (2010)",29620,"Lansing-East Lansing, MI Metro Area"
49582,"Lexington-Fayette, KY Urbanized Area (2010)",30460,"Lexington-Fayette, KY Metro Area"
49852,"Lima, OH Urbanized Area (2010)",30620,"Lima, OH Metro Area"
49933,"Lincoln, NE Urbanized Area (2010)",30700,"Lincoln, NE Metro Area"
50392,"Little Rock, AR Urbanized Area (2010)",30780,"Little Rock-North Little Rock-Conway, AR Metro Area"
51364,"Lorain--Elyria, OH Urbanized Area (2010)",17460,"Cleveland-Elyria, OH Metro Area"
51445,"Los Angeles--Long Beach--Anaheim, CA Urbanized Area (2010)",31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area"
51755,"Louisville/Jefferson County, KY--IN Urbanized Area (2010)",31140,"Louisville/Jefferson County, KY-IN Metro Area"
52201,"Lynchburg, VA Urbanized Area (2010)",31340,"Lynchburg, VA Metro Area"
52822,"Macon, GA Urbanized Area (2010)",31420,"Macon-Bibb County, GA Metro Area"
53200,"Madison, WI Urbanized Area (2010)",31540,"Madison, WI Metro Area"
53740,"Manchester, NH Urbanized Area (2010)",31700,"Manchester-Nashua, NH Metro Area"
56116,"Memphis, TN--MS--AR Urbanized Area (2010)",32820,"Memphis, TN-MS-AR Metro Area"
56602,"Miami, FL Urbanized Area (2010)",33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area"
57466,"Milwaukee, WI Urbanized Area (2010)",33340,"Milwaukee-Waukesha, WI Metro Area"
57628,"Minneapolis--St. Paul, MN--WI Urbanized Area (2010)",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"
57925,"Mobile, AL Urbanized Area (2010)",33660,"Mobile, AL Metro Area"
58600,"Montgomery, AL Urbanized Area (2010)",33860,"Montgomery, AL Metro Area"
60625,"Muncie, IN Urbanized Area (2010)",34620,"Muncie, IN Metro Area"
60841,"Muskegon, MI Urbanized Area (2010)",34740,"Muskegon, MI Metro Area"
61273,"Nashville-Davidson, TN Urbanized Area (2010)",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
62164,"New Castle, PA Urban Cluster (2010)",35260,"New Castle, PA Micro Area"
62407,"New Haven, CT Urbanized Area (2010)",35300,"New Haven-Milford, CT Metro Area"
62677,"New Orleans, LA Urbanized Area (2010)",35380,"New Orleans-Metairie, LA Metro Area"
63217,"New York--Newark, NY--NJ--CT Urbanized Area (2010)",35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
64945,"Ogden--Layton, UT Urbanized Area (2010)",36260,"Ogden-Clearfield, UT Metro Area"
65080,"Oklahoma City, OK Urbanized Area (2010)",36420,"Oklahoma City, OK Metro Area"
65269,"Omaha, NE--IA Urbanized Area (2010)",36540,"Omaha-Council Bluffs, NE-IA Metro Area"
66160,"Oshkosh, WI Urbanized Area (2010)",36780,"Oshkosh-Neenah, WI Metro Area"
68509,"Peoria, IL Urbanized Area (2010)",37900,"Peoria, IL Metro Area"
69076,"Philadelphia, PA--NJ--DE--MD Urbanized Area (2010)",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
69184,"Phoenix--Mesa, AZ Urbanized Area (2010)",38060,"Phoenix-Mesa-Chandler, AZ Metro Area"
69697,"Pittsburgh, PA Urbanized Area (2010)",38300,"Pittsburgh, PA Metro Area"
70993,"Port Arthur, TX Urbanized Area (2010)",13140,"Beaumont-Port Arthur, TX Metro Area"
71317,"Portland, OR--WA Urbanized Area (2010)",38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area"
71533,"Portsmouth, OH--KY Urban Cluster (2010)",39020,"Portsmouth, OH Micro Area"
71803,"Poughkeepsie--Newburgh, NY--NJ Urbanized Area (2010)",39100,"Poughkeepsie-Newburgh-Middletown, NY Metro Area"
72505,"Providence, RI--MA Urbanized Area (2010)",39300,"Providence-Warwick, RI-MA Metro Area"
72613,"Pueblo, CO Urbanized Area (2010)",39380,"Pueblo, CO Metro Area"
73153,"Racine, WI Urbanized Area (2010)",39540,"Racine, WI Metro Area"
74746,"Richmond, VA Urbanized Area (2010)",40060,"Richmond, VA Metro Area"
75421,"Roanoke, VA Urbanized Area (2010)",40220,"Roanoke, VA Metro Area"
75637,"Rochester, MN Urbanized Area (2010)",40340,"Rochester, MN Metro Area"
75664,"Rochester, NY Urbanized Area (2010)",40380,"Rochester, NY Metro Area"
75718,"Rockford, IL Urbanized Area (2010)",40420,"Rockford, IL Metro Area"
77068,"Sacramento, CA Urbanized Area (2010)",40900,"Sacramento-Roseville-Folsom, CA Metro Area"
77149,"Saginaw, MI Urbanized Area (2010)",40980,"Saginaw, MI Metro Area"
78499,"Salt Lake City--West Valley City, UT Urbanized Area (2010)",41620,"Salt Lake City, UT Metro Area"
78580,"San Antonio, TX Urbanized Area (2010)",41700,"San Antonio-New Braunfels, TX Metro Area"
78661,"San Diego, CA Urbanized Area (2010)",41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area"
78904,"San Francisco--Oakland, CA Urbanized Area (2010)",41860,"San Francisco-Oakland-Berkeley, CA Metro Area"
79039,"San Jose, CA Urbanized Area (2010)",41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area"
79768,"Savannah, GA Urbanized Area (2010)",42340,"Savannah, GA Metro Area"
80227,"Scranton, PA Urbanized Area (2010)",42540,"Scranton--Wilkes-Barre, PA Metro Area"
80389,"Seattle, WA Urbanized Area (2010)",42660,"Seattle-Tacoma-Bellevue, WA Metro Area"
81739,"Shreveport, LA Urbanized Area (2010)",43340,"Shreveport-Bossier City, LA Metro Area"
82225,"Sioux City, IA--NE--SD Urbanized Area (2010)",43580,"Sioux City, IA-NE-SD Metro Area"
83116,"South Bend, IN--MI Urbanized Area (2010)",43780,"South Bend-Mishawaka, IN-MI Metro Area"
83764,"Spokane, WA Urbanized Area (2010)",44060,"Spokane-Spokane Valley, WA Metro Area"
83899,"Springfield, IL Urbanized Area (2010)",44100,"Springfield, IL Metro Area"
83926,"Springfield, MA--CT Urbanized Area (2010)",44140,"Springfield, MA Metro Area"
83953,"Springfield, MO Urbanized Area (2010)",44180,"Springfield, MO Metro Area"
83980,"Springfield, OH Urbanized Area (2010)",44220,"Springfield, OH Metro Area"
77743,"St. Joseph, MO--KS Urbanized Area (2010)",41140,"St. Joseph, MO-KS Metro Area"
77770,"St. Louis, MO--IL Urbanized Area (2010)",41180,"St. Louis, MO-IL Metro Area"
85087,"Stockton, CA Urbanized Area (2010)",44700,"Stockton, CA Metro Area"
86302,"Syracuse, NY Urbanized Area (2010)",45060,"Syracuse, NY Metro Area"
86599,"Tampa--St. Petersburg, FL Urbanized Area (2010)",45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area"
87139,"Terre Haute, IN Urbanized Area (2010)",45460,"Terre Haute, IN Metro Area"
87868,"Toledo, OH--MI Urbanized Area (2010)",45780,"Toledo, OH Metro Area"
88084,"Topeka, KS Urbanized Area (2010)",45820,"Topeka, KS Metro Area"
88462,"Trenton, NJ Urbanized Area (2010)",45940,"Trenton-Princeton, NJ Metro Area"
88948,"Tulsa, OK Urbanized Area (2010)",46140,"Tulsa, OK Metro Area"
89785,"Utica, NY Urbanized Area (2010)",46540,"Utica-Rome, NY Metro Area"
90892,"Virginia Beach, VA Urbanized Area (2010)",47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
91027,"Waco, TX Urbanized Area (2010)",47380,"Waco, TX Metro Area"
92485,"Waterbury, CT Urbanized Area (2010)",35300,"New Haven-Milford, CT Metro Area"
92593,"Waterloo, IA Urbanized Area (2010)",47940,"Waterloo-Cedar Falls, IA Metro Area"
94726,"Wheeling, WV--OH Urbanized Area (2010)",48540,"Wheeling, WV-OH Metro Area"
95077,"Wichita, KS Urbanized Area (2010)",48620,"Wichita, KS Metro Area"
96670,"Winston-Salem, NC Urbanized Area (2010)",49180,"Winston-Salem, NC Metro Area"
97750,"York, PA Urbanized Area (2010)",49620,"York-Hanover, PA Metro Area"
97831,"Youngstown, OH--PA Urbanized Area (2010)",49660,"Youngstown-Warren-Boardman, OH-PA Metro Area"
